iter	Passed	Remaining
0	22	2265
1	36	1796
2	45	1467
3	55	1335
4	61	1161
5	66	1038
6	71	948
7	85	981
8	99	1007
9	104	943
10	110	896
11	116	852
12	125	838
13	134	828
14	148	840
15	153	808
16	158	776
17	164	747
18	173	740
19	182	730
20	196	738
21	201	715
22	207	693
23	212	672
24	224	674
25	231	657
26	244	660
27	249	641
28	254	623
29	260	606
30	273	607
31	279	593
32	292	594
33	297	577
34	302	562
35	307	547
36	323	550
37	337	549
38	342	535
39	347	521
40	352	507
41	358	494
42	370	491
43	385	490
44	390	477
45	395	464
46	400	451
47	407	441
48	411	428
49	420	420
50	433	416
51	438	404
52	443	393
53	449	382
54	458	374
55	466	366
56	480	362
57	485	351
58	490	341
59	496	330
60	503	321
61	514	315
62	528	310
63	533	300
64	539	290
65	544	280
66	553	272
67	562	264
68	576	259
69	588	252
70	596	243
71	608	236
72	622	230
73	630	221
74	641	213
75	655	206
76	664	198
77	674	190
78	687	182
79	698	174
80	707	165
81	719	158
82	734	150
83	742	141
84	752	132
85	766	124
86	771	115
87	777	105
88	782	96
89	791	87
90	800	79
91	814	70
92	819	61
93	824	52
94	829	43
95	838	34
96	848	26
97	862	17
98	867	8
99	873	0
