FID,Bore,Latitude,Longitude,R,Bioregion,Subregion,rainfall_annual_avg,rainfall_summer_avg,rainfall_winter_avg,aridity_index,PET,clay_depth_avg,silt_depth_avg,sand_depth_avg,regolith_depth,LAI,NDVI,veg_height,MrVBF,weathering_intensity_index,surface_geol
0,GW060276,-35.46,150.36,7.63,Sydney Basin,Sydney,1191.46997070312,0.289695352315903,0.243388414382935,1.10761606693268,1075.70666503906,26.7044143676758,10.8186473846436,48.6662406921387,4.1657657623291,5.58731889724731,0.549179826258567,20.6,0,NA,Mesozoic_partial_aquifer
1,GW058031,-35.45,150.36,5.51,Sydney Basin,Sydney,1191.46997070312,0.289695352315903,0.243388414382935,1.10761606693268,1075.70666503906,25.806978225708,14.9205417633057,48.9720611572266,1.47194111347198,5.4101448059082,0.560539824640856,20.6,1,NA,Mesozoic_partial_aquifer
2,GW057911,-35.39,150.45,13.2,Sydney Basin,Sydney,1128.71997070312,0.267979055643082,0.25940003991127,1.04010951519012,1085.193359375,34.1239929199219,8.28878879547119,50.6911163330078,NA,1.51968598365784,0.356539473460432,7.6,0,NA,Alluvium_colluvium
3,GW057909,-35.28,150.49,83.76,Sydney Basin,Sydney,1121.85998535156,0.258567631244659,0.261464595794678,1.02316546440125,1096.4599609375,34.5768356323242,8.90494728088379,45.4370307922363,6.20402383804321,NA,0.39828070168171,3.9,0,NA,Mesozoic_partial_aquifer
4,GW048404,-35.2,150.55,9.47,Sydney Basin,Sydney,1104.9599609375,0.251794934272766,0.271086722612381,0.99838262796402,1106.75,26.5810737609863,9.90102767944336,48.8642196655273,5.13035440444946,5.09359884262085,0.450171805688463,11.8,0,NA,Mesozoic_partial_aquifer
5,GW055928,-35.17,150.59,30.4,Sydney Basin,Sydney,1105.78332519531,0.243474453687668,0.281245559453964,0.994871735572815,1111.48327636719,16.4017429351807,9.56740570068359,85.7276306152344,9.18366622924805,0.91268116235733,0.394022122948571,9.6,4,NA,Mesozoic_partial_aquifer
6,GW031420,-35.17,150.57,4.9,Sydney Basin,Sydney,1072.39660644531,0.255794644355774,0.274637192487717,0.962121427059174,1114.61669921875,22.5267772674561,9.2441873550415,62.581226348877,4.28960561752319,4.38128042221069,0.456420353292364,8.8,0,NA,Mesozoic_partial_aquifer
7,GW031401,-35.1,150.69,42.32,Sydney Basin,Sydney,1147.5400390625,0.244656682014465,0.283438205718994,1.04606795310974,1097.00329589844,27.748140335083,14.377986907959,52.8649787902832,1.06986331939697,3.03671503067017,0.402704844850275,11.6,0,NA,Mesozoic_partial_aquifer
8,GW048656,-35.1,150.62,3.65,Sydney Basin,Sydney,1090.93334960938,0.254344910383224,0.28552308678627,0.976124823093414,1117.61669921875,29.9800872802734,8.80609703063965,45.0632019042969,6.41314792633057,0.937439620494843,0.395647321994017,14.5,2,NA,Mesozoic_partial_aquifer
9,GW048432,-35.1,150.6,3.62,Sydney Basin,Sydney,1090.93334960938,0.254344910383224,0.28552308678627,0.976124823093414,1117.61669921875,NA,NA,NA,NA,NA,0.325767856673338,NA,NA,NA,NA
10,GW048516,-35.1,150.6,6.59,Sydney Basin,Sydney,1090.93334960938,0.254344910383224,0.28552308678627,0.976124823093414,1117.61669921875,NA,NA,NA,NA,NA,0.325767856673338,NA,NA,NA,NA
11,GW048310,-35.08,150.69,64.01,Sydney Basin,Sydney,1147.5400390625,0.244656682014465,0.283438205718994,1.04606795310974,1097.00329589844,31.0072956085205,13.1700410842896,47.4337196350098,NA,NA,NA,25.9,1,NA,Mesozoic_partial_aquifer
12,GW037400,-35.08,150.68,139.06,Sydney Basin,Sydney,1147.5400390625,0.244656682014465,0.283438205718994,1.04606795310974,1097.00329589844,31.5169868469238,13.8351020812988,44.8332138061523,4.35622549057007,1.20507252216339,0.419656387485137,15.7,2,NA,Mesozoic_partial_aquifer
13,GW048549,-35.07,150.69,48.13,Sydney Basin,Sydney,1108.5966796875,0.249348267912865,0.28266367316246,0.995981097221375,1113.07006835938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,GW048772,-35.07,150.69,31.99,Sydney Basin,Sydney,1108.5966796875,0.249348267912865,0.28266367316246,0.995981097221375,1113.07006835938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,GW049646,-35.09,150.58,8.2,Sydney Basin,Sydney,1090.93334960938,0.254344910383224,0.28552308678627,0.976124823093414,1117.61669921875,19.132884979248,13.6185159683228,74.3644638061523,NA,3.05471014976501,0.446721739159978,NA,NA,NA,NA
16,GW048746,-35.07,150.69,55.34,Sydney Basin,Sydney,1108.5966796875,0.249348267912865,0.28266367316246,0.995981097221375,1113.07006835938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,GW048923,-35.07,150.68,82.97,Sydney Basin,Sydney,1108.5966796875,0.249348267912865,0.28266367316246,0.995981097221375,1113.07006835938,NA,NA,NA,NA,NA,NA,15,0,NA,Mesozoic_partial_aquifer
18,GW049926,-35.09,150.51,68.95,Sydney Basin,Sydney,1001.22668457031,0.279600352048874,0.26914319396019,0.887987554073334,1127.52331542969,28.4814834594727,12.4474973678589,39.9142227172852,6.95915269851685,1.2869565486908,0.498597403238346,10.6,0,NA,Mesozoic_partial_aquifer
19,GW045363,-35.02,150.83,53.4,Sydney Basin,Sydney,1173.72338867188,0.243265733122826,0.278495490550995,1.06614577770233,1100.9033203125,30.6181907653809,7.35330486297607,46.8919372558594,4.4341402053833,3.39842987060547,0.43704845818654,13.7,2,NA,Mesozoic_partial_aquifer
20,GW058736,-35.02,150.83,56.13,Sydney Basin,Sydney,1173.72338867188,0.243265733122826,0.278495490550995,1.06614577770233,1100.9033203125,30.6181907653809,7.35330486297607,46.8919372558594,4.4341402053833,3.39842987060547,0.43704845818654,13.7,2,NA,Mesozoic_partial_aquifer
21,GW049161,-35.02,150.83,41.35,Sydney Basin,Sydney,1173.72338867188,0.243265733122826,0.278495490550995,1.06614577770233,1100.9033203125,30.6181907653809,7.35330486297607,46.8919372558594,4.4341402053833,3.39842987060547,0.43704845818654,13.7,2,NA,Mesozoic_partial_aquifer
22,GW049186,-35.02,150.83,36.22,Sydney Basin,Sydney,1173.72338867188,0.243265733122826,0.278495490550995,1.06614577770233,1100.9033203125,30.6181907653809,7.35330486297607,46.8919372558594,4.4341402053833,3.39842987060547,0.43704845818654,13.7,2,NA,Mesozoic_partial_aquifer
23,GW045156,-35.02,150.83,53.41,Sydney Basin,Sydney,1173.72338867188,0.243265733122826,0.278495490550995,1.06614577770233,1100.9033203125,30.6181907653809,7.35330486297607,46.8919372558594,4.4341402053833,3.39842987060547,0.43704845818654,13.7,2,NA,Mesozoic_partial_aquifer
24,GW033641,-35.02,150.82,82.4,Sydney Basin,Sydney,1147.58337402344,0.243633717298508,0.279959321022034,1.03301203250885,1110.91003417969,31.6614799499512,6.42509174346924,48.7194633483887,5.19719409942627,3.7138888835907,0.443517542918,7.6,3,NA,Mesozoic_partial_aquifer
25,GW011761,-35.01,150.82,78.44,Sydney Basin,Sydney,1147.58337402344,0.243633717298508,0.279959321022034,1.03301203250885,1110.91003417969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,GW028672,-35.02,150.58,17.98,Sydney Basin,Sydney,991.330017089844,0.272011667490005,0.281298875808716,0.877096891403198,1130.23999023438,27.4546451568604,15.0711498260498,47.7450866699219,3.47613406181335,5.38067626953125,0.521593886106295,10.6,2,NA,Late_Permian
27,GW035642,-34.93,150.54,1.34,Sydney Basin,Sydney,931.816650390625,0.289742261171341,0.275365322828293,0.820138394832611,1136.17004394531,33.3667640686035,10.9835109710693,41.6327743530273,7.89231204986572,1.62222218513489,0.445956139514844,1.5,2,NA,Mid_Permian
28,GW047971,-34.85,150.52,71.08,Sydney Basin,Sydney,998.133361816406,0.301906883716583,0.256505489349365,0.878063976764679,1136.74328613281,26.3436470031738,15.4899282455444,42.8529052734375,2.35388827323914,4.94396114349365,0.517546257521087,38.4,0,NA,Late_Permian
29,GW047344,-34.79,150.67,14.12,Sydney Basin,Sydney,1185.96667480469,0.297751486301422,0.243174344301224,1.03954350948334,1140.85327148438,24.1612911224365,18.1245498657227,47.2761039733887,6.2177734375,2.10048317909241,0.55460526343239,3.3,2,NA,Mid_Permian
30,GW051054,-34.77,150.73,83.61,Sydney Basin,Sydney,1375.79333496094,0.316241770982742,0.22447170317173,1.22911489009857,1119.33666992188,19.8464527130127,17.712797164917,64.4373397827148,14.8173227310181,2.74625611305237,0.575346491577333,3.3,4,NA,Alluvium_colluvium
31,GW022508,-34.77,150.74,90.94,Sydney Basin,Sydney,1375.79333496094,0.316241770982742,0.22447170317173,1.22911489009857,1119.33666992188,30.7570705413818,17.5749378204346,53.4323921203613,7.86320734024048,2.82681155204773,0.567951964499128,1.1,0,NA,Alluvium_colluvium
32,GW015286,-34.78,150.68,45.64,Sydney Basin,Sydney,1137.68664550781,0.301324903964996,0.238451719284058,0.997891962528229,1140.08996582031,27.6034088134766,21.6438617706299,47.4408950805664,4.69944667816162,1.83079707622528,0.536611352750308,1.7,3,NA,Mid_Permian
33,GW057569,-34.76,150.76,14.4,Sydney Basin,Sydney,1375.79333496094,0.316241770982742,0.22447170317173,1.22911489009857,1119.33666992188,33.9570960998535,17.893575668335,44.8205680847168,3.07880234718323,2.1734299659729,0.55870175479274,3.2,2,NA,Basement
34,GW062131,-34.77,150.65,191.12,Sydney Basin,Sydney,1441.14331054688,0.309104114770889,0.241158068180084,1.32783472537994,1085.33337402344,31.0232315063477,19.6443653106689,37.8927993774414,1.38109505176544,5.37077283859253,0.572078946912498,21.2,0,NA,Basement
35,GW057563,-34.76,150.7,56.18,Sydney Basin,Sydney,1347.40661621094,0.313451528549194,0.22831018269062,1.20159327983856,1121.34997558594,26.1283416748047,20.4632205963135,44.7755088806152,4.3349871635437,1.99009656906128,0.554912664419178,3,2,NA,Mid_Permian
36,GW019253,-34.75,150.8,52.76,Sydney Basin,Sydney,1314.39660644531,0.299275457859039,0.232403203845024,1.1703394651413,1123.08996582031,31.0646781921387,17.5897808074951,44.2710952758789,2.55882549285889,2.53466176986694,0.588768558861387,9,0,NA,Alluvium_colluvium
37,GW011697,-34.76,150.67,57.1,Sydney Basin,Sydney,1441.14331054688,0.309104114770889,0.241158068180084,1.32783472537994,1085.33337402344,25.3815479278564,15.5940685272217,55.9911041259766,1.62390780448914,2.47391295433044,0.566349345133294,3.3,0,NA,Mid_Permian
38,GW060126,-34.75,150.7,32.52,Sydney Basin,Sydney,1347.40661621094,0.313451528549194,0.22831018269062,1.20159327983856,1121.34997558594,30.864221572876,17.5692081451416,42.3035430908203,1.56978356838226,5.66823673248291,0.559790393150529,3.4,0,NA,Mid_Permian
39,GW032008,-34.75,150.7,46.26,Sydney Basin,Sydney,1347.40661621094,0.313451528549194,0.22831018269062,1.20159327983856,1121.34997558594,30.864221572876,17.5692081451416,42.3035430908203,1.56978356838226,5.66823673248291,0.559790393150529,3.4,0,NA,Mid_Permian
40,GW010911,-34.72,150.84,17.99,Sydney Basin,Sydney,1277.48669433594,0.279922038316727,0.249742984771729,1.14632773399353,1114.41662597656,32.5018463134766,18.868537902832,67.0841751098633,2.5441837310791,3.00495171546936,0.547017620064088,3.3,2,NA,Basement
41,GW037307,-34.72,150.81,41.95,Sydney Basin,Sydney,1392.93664550781,0.296507865190506,0.244792178273201,1.2779860496521,1089.94665527344,32.5786819458008,22.2428531646729,54.934627532959,5.56479263305664,2.48007249832153,0.578943232651881,3.3,2,NA,Alluvium_colluvium
42,GW042505,-34.72,150.8,98.91,Sydney Basin,Sydney,1392.93664550781,0.296507865190506,0.244792178273201,1.2779860496521,1089.94665527344,39.0824203491211,17.8011932373047,44.3870162963867,1.76096069812775,2.7175121307373,0.584387666722226,4.8,2,NA,Basement
43,GW047520,-34.76,150.1,5.11,Sydney Basin,Sydney,693.816650390625,0.33261427283287,0.23110331594944,0.650345385074615,1066.84338378906,33.5338706970215,20.0337543487549,44.9313468933105,13.6937961578369,1.27439618110657,0.465924779266383,1.6,0,NA,Mid_Permian
44,GW028018,-34.76,150.1,2.97,Sydney Basin,Sydney,693.816650390625,0.33261427283287,0.23110331594944,0.650345385074615,1066.84338378906,33.5338706970215,20.0337543487549,44.9313468933105,13.6937961578369,1.27439618110657,0.465924779266383,1.6,0,NA,Mid_Permian
45,GW050777,-34.75,150.1,2.66,Sydney Basin,Sydney,693.816650390625,0.33261427283287,0.23110331594944,0.650345385074615,1066.84338378906,30.7597312927246,14.2623605728149,47.2793273925781,8.83956909179688,1.22294688224792,0.473964757331142,13.3,0,NA,Mid_Permian
